name,location,rate,cost
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,3.8,1350
Popsies,Koramangala 5th Block,3.9,550
Brewz Coffee,BTM,3.0,650
Mint and Mustard,Basavanagudi,4.0,750
Cafemoto,Koramangala 5th Block,4.0,800
Indus Family Restaurant,BTM,3.8,600
Spice Up,JP Nagar,3.8,600
Namma Kudla,JP Nagar,4.0,400
China Pearl,Koramangala 6th Block,4.4,1100
Bonsouth,Koramangala 5th Block,4.2,1300
The Denny's,Jayanagar,3.7,900
Momo Hut,Koramangala 5th Block,4.0,250
The Kream Story,Koramangala 7th Block,4.1,500
Jalpaan,Jayanagar,4.0,900
Tandoor Hut,Koramangala 5th Block,4.1,700
Dal Roti,JP Nagar,3.7,150
Central Jail Restaurant,Jayanagar,3.8,700
Chutney Chang,Jayanagar,4.1,1500
Kataria's Pakwan,Kumaraswamy Layout,3.3,400
Kamat Bugle Rock,Basavanagudi,3.9,300
Hara Fine Dine,Banashankari,4.0,800
Sultans of Spice,Koramangala 5th Block,4.5,1300
Naati Manae,Koramangala 5th Block,3.9,700
The Royal Corner - Pai Viceroy,Jayanagar,4.2,900
Subz,Jayanagar,4.2,1000
Bella,Jayanagar,3.9,1000
Polamma's Mess,BTM,4.2,300
Gods Own Cafe,Koramangala 7th Block,4.4,300
Cable Car,Jayanagar,4.3,1000
Nite Out,JP Nagar,3.9,500
Night Spoon,BTM,2.6,600
Punjabi Times,Bannerghatta Road,4.1,1000
Vindu Andhra Ruchulu,Jayanagar,3.8,800
Pallavi North Indian Veg Restaurant,JP Nagar,3.7,450
Mandi,JP Nagar,3.8,800
Friends Night Kitchen,Koramangala 6th Block,3.8,400
Kollapuri's,Jayanagar,3.6,600
Bawarchi Inn,BTM,3.1,600
Brews N Bites,Jayanagar,2.9,650
Samskruti - Sanman Gardenia,Jayanagar,4.0,550
Sattvam,JP Nagar,4.3,1200
Redberrys,Basavanagudi,4.0,600
Kesariya,JP Nagar,4.2,1200
Baba Chatkora,JP Nagar,,1000
Nandhana Palace,JP Nagar,4.3,800
Narmadha's Hyderabad Biriyani,BTM,3.9,550
Coastal Mama,JP Nagar,4.1,700
Tasty Bites,JP Nagar,3.8,450
Nouvelle Garden,JP Nagar,3.7,900
Royal Chef Naati Oota,JP Nagar,4.0,500
Kidambi's Kitchen,Banashankari,3.5,300
NEW SUNRISE RESTAURANTS,JP Nagar,2.7,500
Night Panda,JP Nagar,2.9,500
Night Bell,South Bangalore,3.1,450
Swad Restaurant,BTM,3.7,550
Flavour of China,BTM,3.8,550
Status,Bannerghatta Road,3.3,600
BTM Bawarchi Biryani,BTM,3.5,600
Natuna Seafood House,Koramangala 5th Block,4.2,450
Melt - Eden Park,JP Nagar,4.0,1000
Desi Vibes,BTM,3.7,600
Eshanya,Jayanagar,4.1,1000
Banana Beach Bar,Koramangala 6th Block,3.7,1300
Billionaires Cafe,Koramangala 5th Block,3.8,600
Kulfi & More,BTM,3.7,200
Sagar Fast Food,BTM,3.7,300
Siddique Kabab Centre,Jayanagar,3.1,550
Dice N Dine,Koramangala 5th Block,4.3,900
South Kitchen,Basavanagudi,4.3,100
Maxpresso,Koramangala 7th Block,4.1,700
The Lassi Park,Jayanagar,4.1,200
Tongue Twisters,BTM,3.5,350
Kapoor's Biriyani,BTM,3.3,400
Upahara Darshini,Basavanagudi,3.9,600
Targaryen's Kitchen,JP Nagar,3.6,600
Desi Cream Junction,Jayanagar,3.7,650
Kopper Kadai,Koramangala 5th Block,4.1,1200
Calvin's,Koramangala 5th Block,3.8,800
Elmas Restaurant,Koramangala 7th Block,3.5,650
Bottle Breacher,JP Nagar,4.2,1200
Darbar,Banashankari,3.0,800
Chef Master,Jayanagar,3.8,300
Berry'd Alive,Koramangala 5th Block,4.3,400
Pabrai's Fresh & Naturelle Icecreams,Koramangala 5th Block,3.9,200
Nourich,JP Nagar,,800
Checkpost,JP Nagar,4.1,600
Dr. Sheesha,JP Nagar,4.1,800
Peppy Peppers,Banashankari,4.2,800
Roving Feast,Banashankari,4.0,450
Apsara Ice Cream,JP Nagar,4.2,200
Anjappar,JP Nagar,3.1,650
Cafe Arabica,Bannerghatta Road,3.8,700
Upahar Sagar,Banashankari,3.8,350
Eat N Drink,BTM,3.8,250
Daily Bread,JP Nagar,3.2,600
Beach Hut,JP Nagar,3.5,650
Multi Cakes,JP Nagar,3.7,200
Chatar Patar,Banashankari,3.7,300
Rolls On Wheels,BTM,2.8,300
Harshi Super Sandwich,Basavanagudi,3.8,150
Mast Kalandar,JP Nagar,2.3,450
Food Junction,BTM,3.5,400
Dash In,BTM,3.1,600
New Farm Fresh,BTM,3.6,650
The 90s Hash House,BTM,3.8,500
Deja Vu Resto Bar,Bannerghatta Road,4.4,900
As On Fire,South Bangalore,3.5,400
Haji Ali Juice Centre,Koramangala 5th Block,4.0,350
Parivar,Jayanagar,3.8,500
Kamat Swaad,JP Nagar,3.9,400
J Spice,Banashankari,3.8,750
Namaste Kitchen,Koramangala 5th Block,3.8,400
Tea Villa Cafe,Jayanagar,4.2,800
Milano Ice Cream,Jayanagar,4.5,400
Thyme & Whisk,Jayanagar,3.9,800
Mane Holige,Jayanagar,4.3,200
Maiyas,Jayanagar,4.0,200
Natural Ice Cream,Jayanagar,4.4,200
Corner House Ice Cream,Jayanagar,4.4,400
Cakewala,Jayanagar,4.3,500
The Caramelts Cafe,Jayanagar,4.1,800
Amma's Pastries,Jayanagar,4.2,400
Cool Joint,Jayanagar,4.2,250
Bubblewrap Waffle Co.,Jayanagar,4.4,400
The Ganache Factory,Jayanagar,4.2,400
Polar Bear,Jayanagar,4.0,400
Mishra's Pedha Big Foods,Jayanagar,3.9,200
Desi Rasoi,Jayanagar,3.8,600
Dr. Bubbles,Jayanagar,4.2,400
The Belgian Waffle Co.,Jayanagar,3.8,350
Roll Over,Jayanagar,4.1,500
Chocoberry,Jayanagar,3.5,400
Magic Meals,Jayanagar,3.7,400
Krispy Kreme,Jayanagar,4.0,300
Keventers,Jayanagar,3.9,400
Ice Cream Works,Jayanagar,4.1,300
Sreeraj Lassi Bar,Jayanagar,4.1,150
Ibaco,Jayanagar,4.0,300
Sri Venkateshwara Sweet Meat Stall,Jayanagar,4.1,250
Waffle Stories,Jayanagar,4.2,300
Apsara Ice Cream,Jayanagar,4.1,200
Tummy Fuel,Jayanagar,4.2,400
Divina - Eden Park Restaurants,Jayanagar,4.0,400
Kanti Sweets,Jayanagar,3.9,400
Anand Sweets and Savouries,Jayanagar,3.9,400
Pop Hop,Jayanagar,4.1,300
Two Friends Cauldron,JP Nagar,4.1,700
Slate Cafe,JP Nagar,4.1,600
Poonam Sweets,Banashankari,4.4,150
Crafted Plate,JP Nagar,4.2,600
CakeZone,BTM,4.1,500
Old Mumbai Ice Cream,Banashankari,4.0,150
Stoned Monkey,Banashankari,4.3,500
Shri Ram Sweet Centre,BTM,4.0,150
Sweet Truth,JP Nagar,3.8,500
Pancuzzi,JP Nagar,4.2,600
WAFL,Bannerghatta Road,4.0,400
World of Waffles,JP Nagar,3.9,400
Rock Stone Ice Cream Factory,BTM,4.0,230
TAB - Take A Break,JP Nagar,4.1,550
Shagun Sweets & Foods,BTM,3.5,400
Taaza Mithai,JP Nagar,3.9,100
The Chocolate Room,JP Nagar,3.9,400
Kirthi's Biryani,Banashankari,3.8,700
Bun Town,BTM,4.0,500
Cream Stone,JP Nagar,4.0,500
Cafe Arabica,Bannerghatta Road,3.8,700
Sri Devi Baker's,BTM,3.9,200
Cold Stone Creamery,Bannerghatta Road,3.9,400
Asha Sweets Centre,JP Nagar,3.9,250
Daily Bread,JP Nagar,3.2,600
Ice Land,JP Nagar,3.6,300
Kulfi & More,BTM,3.7,200
Multi Cakes,JP Nagar,3.7,200
Calvin's,JP Nagar,2.9,800
Bake Addiction,JP Nagar,4.1,500
Waffle-A-Go Go,Banashankari,3.9,400
Pabrai's Fresh and Naturelle Icecreams,BTM,3.7,300
Protein Grillhouse,Jayanagar,4.3,800
Sea Lions BBQ & Grills,Jayanagar,4.6,1100
Fusion Theory,Jayanagar,4.1,700
Subz,Jayanagar,4.2,1000
Meghana Foods,Jayanagar,4.5,600
Gufha - The President Hotel,Jayanagar,4.1,1200
1947,Jayanagar,4.1,950
Go Native,Jayanagar,4.3,800
Cable Car,Jayanagar,4.3,1000
Chutney Chang,Jayanagar,4.1,1500
Thyme & Whisk,Jayanagar,4.2,800
Al-Bek,Jayanagar,4.0,650
Ranganna Military Hotel,Jayanagar,4.2,350
Shanmukha,Jayanagar,4.3,800
Eshanya,Jayanagar,4.1,1000
Mainland China,Jayanagar,4.3,1700
Central Jail Restaurant,Jayanagar,3.7,700
Andhra Ruchulu,Jayanagar,4.1,1000
Alchemy Coffee Roasters,Jayanagar,4.2,500
Brew Meister,Jayanagar,4.1,1500
Rooftop Cafe,Jayanagar,4.1,400
Empire Restaurant,Jayanagar,4.4,750
Moghul Durbar Restaurant,Jayanagar,4.0,550
Jalpaan,Jayanagar,4.0,900
Nagarjuna Chimney,Jayanagar,4.0,600
Biryanis And More,Jayanagar,4.1,750
Salut,Jayanagar,4.1,1200
Enerjuvate Studio & Cafe,Jayanagar,4.2,800
The Caramelts Cafe,Jayanagar,4.1,800
Cafe Cosy,Jayanagar,4.2,800
Rajathadri Food Fort,Jayanagar,4.0,600
Mangalore Pearl,Jayanagar,3.8,650
Patio 805,Jayanagar,4.0,1200
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,4.0,1200
Karma Kaapi,Jayanagar,4.5,250
Chung's Chinese Corner,Jayanagar,3.9,600
SlimSins Cafe,Jayanagar,4.1,850
Cafe Ajfan,Jayanagar,4.2,700
LIT Gastro Pub,Jayanagar,3.4,1000
Krazzy Folds,Jayanagar,4.2,800
The Blue Wagon - Kitchen,Jayanagar,4.6,400
Golden Oak - La Marvella Sarovar Premiere Hotel,Jayanagar,3.9,1000
The Royal Corner - Pai Viceroy,Jayanagar,4.2,900
Desi Rasoi,Jayanagar,3.8,600
La Casa,Jayanagar,3.6,800
Punjabi Raswada,Jayanagar,3.6,800
Sri Udupi Food Hub,Jayanagar,4.1,500
The Krishna Grand Xpress,Jayanagar,4.0,350
Euki,Jayanagar,4.0,900
Biriyani Mane,Jayanagar,3.7,700
Willys Top Cafe,Jayanagar,4.0,750
Taj Durbar,Jayanagar,3.8,400
Ragoo's,Jayanagar,3.9,800
Curry Leaves,Jayanagar,3.8,600
Sukh Sagar,Jayanagar,3.8,450
Hyderabad Bawarchi,Jayanagar,3.9,800
A2B Veg - Adyar Ananda Bhavan,Jayanagar,2.8,400
De Thaali,Jayanagar,3.9,550
Pizza Hut,Jayanagar,3.8,750
The Lounge - Eden Park Restaurants,Jayanagar,3.7,1350
Nandhini Deluxe,Jayanagar,3.6,600
City Durbar,Jayanagar,3.7,450
Navami,Jayanagar,3.5,750
New Prashanth Hotel,Jayanagar,3.7,750
Clove Rooftop,Jayanagar,3.8,1000
La Grande Cafe,Jayanagar,3.8,400
Rustic Stove,Jayanagar,3.7,900
Pure & Natural,Jayanagar,3.9,500
Cross Road Cafe,Jayanagar,3.9,300
Samskruti - Sanman Gardenia,Jayanagar,4.0,550
Sarvam's,Jayanagar,3.7,550
The Trundle,Jayanagar,3.7,700
Kollapuri's,Jayanagar,3.6,600
Parivar,Jayanagar,3.8,500
Tummy Fuel,Jayanagar,4.1,400
Iyengar's Inn,Jayanagar,4.1,100
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,3.8,1350
Grazers,Jayanagar,3.9,650
Mug N Bean,Jayanagar,3.9,400
The Yellow Chilli,Jayanagar,3.8,1200
Desi Cream Junction,Jayanagar,3.7,650
Java City,Jayanagar,2.5,450
Pavithra Restaurant,Jayanagar,3.2,300
Canton,Jayanagar,3.4,800
The Denny's,Jayanagar,3.7,900
Chung Wah,Jayanagar,3.7,850
Halli Jonne Biriyani,Jayanagar,4.2,400
KFC,Jayanagar,3.3,400
Maiyas,Jayanagar,4.0,200
Hari Super Sandwich,Jayanagar,4.4,200
Kabab Magic,Jayanagar,4.0,500
Kailash Parbat,Jayanagar,3.9,1200
Rajanna Military Hotel,Jayanagar,4.1,400
Vakulaa Veg Restaurant,Jayanagar,3.9,200
Brahmin Tiffins & Coffee,Jayanagar,4.2,100
Upahara Darshini,Jayanagar,3.9,400
Burger King,Jayanagar,3.9,600
Domino's Pizza,Jayanagar,3.7,400
Pani Kum Chai,Jayanagar,3.9,200
Wat-a-Burger!,Jayanagar,3.9,500
Subway,Jayanagar,3.1,600
Food Springs,Jayanagar,4.0,400
Karnataka Bhel House,Jayanagar,3.9,100
Magic Meals,Jayanagar,3.7,400
McDonald's,Jayanagar,3.7,500
Sandwichwallas,Jayanagar,3.9,200
Kalpavriksha Upahara,Jayanagar,4.0,400
Rajvardhan Foods,Jayanagar,3.9,300
SGS Non Veg - Gundu Pulav,Jayanagar,3.4,400
MDP Coffee House,Jayanagar,3.8,200
Bangalore Agarwal Bhavan,Jayanagar,3.9,400
Vasudev Adiga's,Jayanagar,3.8,250
Paratha Junction,Jayanagar,3.3,300
Vijayalakshmi Veg,Jayanagar,3.9,200
Polar Bear,Jayanagar,3.8,400
Vybhava,Jayanagar,3.8,250
Leon Grill,Jayanagar,4.1,500
Khan Saheb Grills and Rolls,Jayanagar,3.9,350
Shree Venkateshwara North Karnataka Hotel,Jayanagar,4.0,200
Wahab,Jayanagar,3.7,350
Brews N Bites,Jayanagar,3.0,650
Chef Master,Jayanagar,3.8,300
Pizza Stop,Jayanagar,3.4,600
Pappu Da Dhaba,Jayanagar,3.2,400
Siddique Kabab Centre,Jayanagar,3.1,550
The Pump House,JP Nagar,4.3,1500
AB's - Absolute Barbecues,BTM,4.9,1600
Barbeque Nation,JP Nagar,4.8,1600
Sattvam,JP Nagar,4.3,1200
Brewsky,JP Nagar,4.3,1600
Stories,JP Nagar,4.3,1200
Three Dots & A Dash,JP Nagar,4.3,1500
Chianti,Bannerghatta Road,4.5,1500
55 Wall Street,JP Nagar,3.9,1300
Chulha Chauki Da Dhaba,JP Nagar,4.3,800
Le Arabia,JP Nagar,4.2,600
Zaitoon,JP Nagar,4.1,1000
Paradise,JP Nagar,4.0,800
Nourich,JP Nagar,3.9,800
Crumb Together,JP Nagar,4.1,1200
Jalsa,Banashankari,4.1,800
Checkpost,JP Nagar,4.0,600
Baba Chatkora,JP Nagar,3.7,1000
Nandhana Palace,JP Nagar,4.3,800
Dr. Sheesha,JP Nagar,4.2,800
The Rogue Elephant,Basavanagudi,4.3,1000
Malabar Bay,BTM,4.1,800
Galito's,Bannerghatta Road,4.5,1000
Wamama,Banashankari,4.2,800
Bottle Breacher,JP Nagar,4.1,1200
Churchill's,JP Nagar,4.1,1100
Vinny's,Banashankari,4.2,800
Rajdhani Thali Restaurant,JP Nagar,4.0,900
Narmadha's Hyderabad Biriyani,BTM,3.9,600
Oye Amritsar,JP Nagar,3.8,600
Skyline Pizzeria,JP Nagar,4.0,600
Mockaholic Restro Beer Cafe,JP Nagar,3.9,1000
Coastal Mama,JP Nagar,4.1,700
Zhang's - Chinese Restaurant,JP Nagar,4.1,700
Dadi's Dum Biryani,BTM,4.1,800
Polamma's Mess,BTM,4.2,300
Caffe Pascucci,JP Nagar,4.0,1300
Watson's,JP Nagar,4.0,1300
The Jade Kitchen,JP Nagar,3.9,600
Punjabi Times,Bannerghatta Road,4.1,1000
D View Cafe,JP Nagar,4.0,1000
Mandi,JP Nagar,3.8,800
Crafted Plate,JP Nagar,4.2,600
Vaathsalya Millet Cafe,JP Nagar,4.1,500
Ruh's Cafe,BTM,4.1,500
Onesta,JP Nagar,4.3,600
Swad Restaurant,BTM,3.7,500
Parkview,JP Nagar,4.0,300
Chicken County Grand,Bannerghatta Road,3.9,650
Casa Piccosa,JP Nagar,4.1,1100
J Spice,Banashankari,3.8,750
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,4.1,150
Namma Kudla,JP Nagar,3.9,400
Mavalli Tiffin Room (MTR),JP Nagar,4.2,300
Anjappar,JP Nagar,2.7,650
Bhojohori Manna,JP Nagar,3.8,650
California Burrito,JP Nagar,4.1,400
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,JP Nagar,3.6,300
Cafe Vivacity,Banashankari,3.8,650
Kannur Food Point,BTM,4.0,200
Royal Paris,BTM,3.9,1000
TAB - Take A Break,JP Nagar,4.1,550
Mecaf Family Restaurant,BTM,3.9,600
The Shawarma Shop,BTM,4.1,250
Roving Feast,Banashankari,4.0,450
Hara Fine Dine,Banashankari,4.0,800
Savoury - Sea Shell Restaurant,Bannerghatta Road,3.9,900
Nouvelle Garden,JP Nagar,3.7,900
Shagun Sweets & Foods,BTM,3.6,400
Drunken Monkey,JP Nagar,3.7,400
Tandoor Garden,BTM,3.6,350
Spice Code,JP Nagar,4.0,1000
Beijing Bites,JP Nagar,4.0,850
Roti Wala,BTM,4.2,300
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,4.4,100
Messy Bowl,Banashankari,3.5,500
Royal Chef Naati Oota,JP Nagar,4.0,500
Kirthi's Biryani,Banashankari,3.8,700
Woody's,JP Nagar,2.5,650
The Krishna Grand,Banashankari,3.9,750
White Horse,JP Nagar,3.8,400
Coconut Grove,JP Nagar,3.3,1100
Ashirvaad Grand,BTM,4.0,400
Srikrishna Bhavan,Banashankari,3.8,300
Cafe Mondo,Basavanagudi,3.7,600
Udupi Grand,Basavanagudi,3.8,300
Marwa Restaurant,Bannerghatta Road,3.5,600
Pallavi North Indian Veg Restaurant,JP Nagar,3.7,450
Tasty Bites,JP Nagar,3.8,450
The Foodyz,JP Nagar,3.6,500
Shri Ram Sweet Centre,BTM,4.0,150
Upahara Darshini,Basavanagudi,4.2,150
Cafe Arabica,Bannerghatta Road,3.8,700
Shanthi Sagar,JP Nagar,3.7,400
Smoke - The Sizzler House,Bannerghatta Road,3.8,1100
Bhukkhad Baba,JP Nagar,3.7,250
Prasiddhi Food Corner,JP Nagar,3.7,200
Spice Up,JP Nagar,3.8,600
House Of Kebabs,Basavanagudi,3.9,700
Green Onion,Bannerghatta Road,3.0,400
Faasos,JP Nagar,3.9,500
Anju's Cafe,JP Nagar,4.1,400
Zam Zam Darbar,BTM,2.9,500
Kadala Tarangaa,Banashankari,3.6,600
On The Nose,BTM,3.8,600
Paisa Vasool,Koramangala 7th Block,3.3,400
Brewz Coffee,BTM,3.0,650
Bakers Town,BTM,3.5,600
Cravy Wings,Bannerghatta Road,4.2,400
The Onyx - The HHI Select Bengaluru,JP Nagar,3.5,950
The Chocolate Room,JP Nagar,3.9,400
Indori Chatorey,BTM,2.8,300
The Biriyani Pedia,BTM,4.0,300
Baba Ka Dhaba,BTM,3.7,400
Dev's Gugababa,BTM,3.1,500
Tasty Magic,BTM,2.7,600
Bawarchi Inn,BTM,3.0,600
SLV Swadishta,Banashankari,3.8,300
Bikaner Jn,JP Nagar,3.9,300
Upahar Sagar,Banashankari,3.8,350
Beach Hut,JP Nagar,3.5,650
Udupi Gokul Cafe,BTM,3.8,300
Sri Devi Baker's,BTM,3.9,200
Chokha Chowka,BTM,3.8,400
Delhi Ke Bawarchi,JP Nagar,4.0,500
Eat N Drink,BTM,3.8,250
Chung Wah Opus,JP Nagar,3.0,650
Upahara Darshini,Basavanagudi,4.0,600
New Shanthi Sagar,Basavanagudi,2.7,600
As On Fire,South Bangalore,3.4,400
Targaryen's Kitchen,JP Nagar,3.6,600
Flavour of China,BTM,3.8,600
New Royal Treat,Bannerghatta Road,2.8,350
SLV Restaurant,JP Nagar,4.1,300
Fillers,BTM,3.9,300
Dal Roti,JP Nagar,3.7,150
Tiwari's,Bannerghatta Road,3.8,200
Cuppa,JP Nagar,3.4,550
Kamat Swaad,JP Nagar,3.9,400
Mast Kalandar,JP Nagar,2.3,450
Apna Punjab,BTM,3.7,450
Udupi Thaja Thindi,BTM,2.9,250
Chaitanya Cafe,JP Nagar,3.9,300
Darbar,Banashankari,3.0,800
NEW SUNRISE RESTAURANTS,JP Nagar,2.7,500
Dash In,BTM,3.1,600
Chatar Patar,Banashankari,3.6,300
Calvin's,JP Nagar,2.9,800
Magix's Parattha Roll,BTM,3.8,400
Hotel Aradhana,Bannerghatta Road,3.7,300
Rolls On Wheels,BTM,2.8,300
Sri Vishnupriya,BTM,3.0,300
Kidambi's Kitchen,Banashankari,3.4,300
Pappu Chaiwalla,JP Nagar,3.6,300
Harshi Super Sandwich,Basavanagudi,3.8,150
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,BTM,3.7,450
Pout,BTM,4.0,400
Panchami Garden,Bannerghatta Road,3.6,400
Cafe Bollywood,JP Nagar,3.4,200
Food Junction,BTM,3.6,400
New Farm Fresh,BTM,3.6,650
Bamboo Heights,BTM,3.7,500
Woodee Pizza,JP Nagar,2.7,500
Kakal-Kai Ruchi,JP Nagar,3.8,400
The 90s Hash House,BTM,3.8,500
Sri Krishna Sagar,JP Nagar,3.1,300
PHEW (Play Hard Eat Wild),BTM,3.9,700
Chai Point,BTM,4.0,250
Sri Lakshmi Dhaba,BTM,3.0,250
Cafe Mist,JP Nagar,3.8,500
Once Upon a Rooftop,Jayanagar,4.3,1000
55 Wall Street,JP Nagar,3.9,1300
Crumb Together,JP Nagar,4.1,1200
Brew Meister,Jayanagar,4.1,1500
Salut,Jayanagar,4.1,1200
The Lounge - Eden Park Restaurants,Jayanagar,3.8,1350
Clove Rooftop,Jayanagar,3.8,1000
The Pump House,JP Nagar,4.3,1500
Levitate Brewery and Kitchen,JP Nagar,4.5,1500
Deja Vu Resto Bar,Bannerghatta Road,4.4,900
Brewsky,JP Nagar,4.3,1600
Stories,JP Nagar,4.2,1200
"3B's - Buddies, Bar & Barbecues",BTM,4.4,1100
Bottle Breacher,JP Nagar,4.2,1200
Churchill's,JP Nagar,4.1,1100
The Underpass Pub & Grub,JP Nagar,4.0,1500
Mockaholic Restro Beer Cafe,JP Nagar,3.9,1000
Watson's,JP Nagar,4.0,1300
Casa Piccosa,JP Nagar,4.1,1100
Coconut Grove,JP Nagar,3.4,1100
Darbar,Banashankari,3.0,800
Sea Lions BBQ & Grills,Jayanagar,4.6,1100
Barbeque Nation,JP Nagar,4.7,1600
Sattvam,JP Nagar,4.3,1200
Village - The Soul of India,JP Nagar,4.1,1000
24th Main,JP Nagar,4.1,800
Zaitoon,JP Nagar,4.1,1000
Oye Amritsar,JP Nagar,3.8,600
Melt - Eden Park,JP Nagar,4.0,1000
Mandi,JP Nagar,3.8,800
Nouvelle Garden,JP Nagar,3.7,900
Spice Code,JP Nagar,3.9,1000
The Onyx - The HHI Select Bengaluru,JP Nagar,3.3,950
Deja Vu Resto Bar,Bannerghatta Road,4.4,900
Fattoush,Bannerghatta Road,4.2,1000
AB's - Absolute Barbecues,BTM,4.9,1600
Cable Car,Jayanagar,4.3,1000
"3B's - Buddies, Bar & Barbecues",BTM,4.4,1100
Fusion Theory,Jayanagar,,700
Desi Rasoi,Jayanagar,3.8,600
The Yellow Chilli,Jayanagar,3.8,1200
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,3.8,1350
Dr. Sheesha,JP Nagar,4.1,800
Slate Cafe,JP Nagar,4.1,600
Skyline Pizzeria,JP Nagar,3.9,600
D View Cafe,JP Nagar,4.0,1000
Dialogues,JP Nagar,4.0,600
Pancuzzi,JP Nagar,4.2,600
Starbucks,JP Nagar,4.2,700
Mudpipe Cafe,JP Nagar,3.9,800
TAB - Take A Break,JP Nagar,4.1,550
Biggies Burger 'n' More,JP Nagar,4.1,650
Onesta,JP Nagar,4.4,600
Cafe Potpourri,JP Nagar,3.7,400
Crafted Plate,JP Nagar,4.2,600
Vinaya Coffee Moments,JP Nagar,3.8,450
Cuppa,JP Nagar,3.4,550
Skytouch Le Cafe,JP Nagar,3.7,700
The Chocolate Room,JP Nagar,3.9,400
Woodee Pizza,JP Nagar,2.7,500
Cafe Mist,JP Nagar,3.8,500
WAFL,Bannerghatta Road,4.0,400
Vaho Kafe & Pressery,Bannerghatta Road,3.9,500
Dreamcatcher,Bannerghatta Road,3.9,600
Go Native,Jayanagar,4.3,800
Alchemy Coffee Roasters,Jayanagar,4.2,500
SlimSins Cafe,Jayanagar,4.1,850
Ruh's Cafe,BTM,4.1,500
The Airos,Jayanagar,4.1,650
Bun Town,BTM,4.0,500
Cross Road Cafe,Jayanagar,3.9,300
Tummy Fuel,Jayanagar,4.2,400
Willys Top Cafe,Jayanagar,4.0,750
La Grande Cafe,Jayanagar,3.8,400
Ludo CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Kumaraswamy Layout,3.9,550
Brewz Coffee,BTM,3.0,650
On The Nose,BTM,3.8,600
Mug N Bean,Jayanagar,3.9,400
People Tree Cafe,Jayanagar,3.7,400
PHEW (Play Hard Eat Wild),BTM,3.9,700
Fish Chain,BTM,4.1,250
Swadista Aahar,BTM,4.2,300
FreshMenu,South Bangalore,3.8,450
Subway,Bannerghatta Road,3.2,600
Capsicum Family Restaurant,BTM,3.8,800
Hiyar Majhe Kolkata,BTM,3.9,400
Easy Bites,JP Nagar,4.1,300
Recipe,Kumaraswamy Layout,4.0,500
Chettayees,BTM,3.4,400
Leon Grill,Jayanagar,4.1,500
XO Belgian Waffle,BTM,4.5,400
Kannur Food Point,BTM,3.7,200
Kullad Cafe,BTM,3.9,200
Dr. Bubbles,Jayanagar,4.2,400
Abhiruchi Hotel,BTM,3.5,600
Al-Bek,JP Nagar,3.6,300
Malenadu Kitchen,Kanakapura Road,3.8,700
Kitchens@JP Nagar,JP Nagar,3.9,400
Sri Lakshmi Dhaba,BTM,2.9,250
Krishna Kuteera,Bannerghatta Road,4.0,400
Momoz,BTM,4.0,600
Kalingas,BTM,3.9,250
Roti Wala,BTM,4.0,300
Corner House Ice Cream,Jayanagar,4.4,400
Apna Punjab,BTM,3.7,450
Five Star Chicken,JP Nagar,3.9,300
Nellore Bhojanam,Bannerghatta Road,3.1,250
Sagar Deluxe,Kumaraswamy Layout,3.2,300
Chaatimes,JP Nagar,3.8,200
Muthashy's,BTM,4.2,400
Donne Biriyani House,JP Nagar,3.3,350
Shanmukha,Jayanagar,4.4,800
Bhukkhad Baba,JP Nagar,3.7,250
Kitchen Garden,Kumaraswamy Layout,3.6,300
Swad Punjab Da,BTM,4.1,150
Shanthi Sagar,JP Nagar,3.6,400
Burger King,Bannerghatta Road,3.8,600
Cakebuy,Bannerghatta Road,3.9,350
Smoke-A-Pot,JP Nagar,3.5,600
Tasty Bytes,Kumaraswamy Layout,3.1,300
Abhiruchi Hotel,Bannerghatta Road,3.3,550
SL Vadapav,Jayanagar,4.0,100
Pizza Hut,JP Nagar,2.7,750
Adithya,JP Nagar,4.0,300
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,JP Nagar,3.6,300
Faasos,JP Nagar,3.9,500
Kedia's Fun Food,Jayanagar,4.3,200
Krispy Kreme,Jayanagar,4.0,300
Cheesiano Pizza,JP Nagar,4.0,700
Kabab Magic,Jayanagar,4.0,500
Cafe Potpourri,JP Nagar,3.7,400
KFC,Jayanagar,3.3,400
Keventers,Jayanagar,3.9,400
Behrouz Biryani,JP Nagar,4.0,650
Le Arabia,JP Nagar,,600
Paradise,JP Nagar,4.0,800
Mahesh Friends Food Center,BTM,2.9,300
Cakewala,JP Nagar,4.1,500
Roll N Rock,Kumaraswamy Layout,3.9,400
Ghee Biryanis,BTM,3.4,500
Hind Ka Chulah,Bannerghatta Road,3.8,600
Mani's Dum Biryani,JP Nagar,4.2,750
Dadi's Dum Biryani,Bannerghatta Road,4.0,800
Biryani Durbar,Bannerghatta Road,3.7,400
